objectid,objectnumber
-1,
0,ROC10574
1,ROC10586
2,ROC10907
3,ROC10615
4,ROC10948
5,ROC10702
6,ROC10703
7,ROC10704
8,ROC11027
9,ROC10705
10,ROC11100
11,86-ZH-200 series-216
12,86-ZH-200 series-218
13,ROC15076
14,ROC10788
15,ROC11246
16,ROC11320
17,ROC10811
18,ROC10854
19,ROC10871
20,ROC10970
21,ROC11469
22,ROC80116
23,ROC10991
24,ROC11151
25,ROC11167
26,ROC11182
27,ROC11268
28,ROC11272
29,ROC11379
30,MVO-354
31,ORU-416
32,ROC11073
33,ROC11087
34,ROC11109
35,ROC10078
36,ROC10100
37,ROC10106
38,ROC10130
39,ROC10206
40,ROC10208
41,ROC10220
42,ROC10229
43,ROC10257
44,ROC10285
45,ROC10300
46,ROC10604
47,ROC10617
48,ROC10684
49,ROC10699
50,ROC10754
51,ROC10766
52,ROC10777
53,ROC10867
54,GSC-103
55,Pan.-6
56,Ran 106
57,86-ZH-200 series-282
58,ROC10972
59,ROC10976
60,ROC10988
61,ROC11198
62,ROC11304
63,ROC11305
64,ROC11329
65,ROC11333
66,ROC11357
67,86-ZH-200 series-287
68,Sic-103
69,SH 40.conflict2
70,CB-5
71,12907.1
72,GSC-234
73,GSC-2688
74,ROC5883
75,GSC-372
76,ROC80118
77,GSC-1466
78,86-ZH(?)-1-12
79,86-ZH-200 series-289
80,86-ZH-200 series-292
81,86-ZH-200 series-293
82,96-RH-224
83,ROC1258
84,G201
85,P5019
86,P5009
87,"C45, G154, G109, G1011"
88,G23 0.0-193.2/G24 22.0-94.0
89,G?
90,G8
91,8GP
92,G305
93,G355
94,"G341, G340"
95,G336
96,"G332, G333, G334"
97,G318
98,"G143, G155"
99,G151
100,G155
101,"G159, C49"
102,85-ZH-1/29-100 Series-143
103,86-ZH-200 series-223
104,86-ZH-200 series-224
105,86-ZH-200 series-227
106,86-ZH-200 series-232
107,86-ZH-200 series-233
108,86-ZH-200 series-234
109,86-ZH-200 series-235
110,86-ZH-200 series-236
111,86-ZH-200 series-237
112,86-ZH-200 series-238
113,86-ZH-200 series-239
114,86-ZH-200 series-240
115,86-ZH-200 series-241
116,86-ZH-200 series-251
117,86-ZH-200 series-257
118,86-ZH-200 series-264
119,86-ZH-200 series-265
120,86-ZH-200 series-272
121,86-ZH-200 series-273
122,86-ZH-200 series-274
123,91-DMH-20
